0 9.357799420709631E-6 9.057564083997104E-6 9.840748823316438E-6
1 9.428868121705356E-6 9.275164246740036E-6 9.740530010172942E-6
2 9.952629636705194E-6 9.557160473779732E-6 1.0337117967332125E-5
3 9.826836635417675E-6 9.65817261041848E-6 1.009327457233981E-5
4 1.0278583724882536E-5 9.995968509447166E-6 1.0775122263321005E-5
5 1.0418281015834267E-5 1.0107715796968773E-5 1.069697426507985E-5
6 1.0992715766843513E-5 1.0383367315094145E-5 1.1561147404556331E-5
7 1.0767691974656812E-5 1.0516530411826821E-5 1.1265025659978882E-5
8 1.1135816984364962E-5 1.0688451381452132E-5 1.1798820304133649E-5
9 1.1065275973075799E-5 1.0814434591747147E-5 1.141727974100088E-5
10 1.1504796336329502E-5 1.1240261121856867E-5 1.1895284446467174E-5
20 1.3661844225685902E-5 1.3289726825266613E-5 1.4083410172272356E-5
30 1.5317131002114602E-5 1.4830798545567076E-5 1.6221928825622778E-5
40 1.6950430965331576E-5 1.6536689962089997E-5 1.7562938519861547E-5
50 1.855236319138522E-5 1.830159838472834E-5 1.901020704845815E-5
60 2.0296107456140354E-5 2.0000898279352226E-5 2.1041795293522268E-5
70 2.2287381962864724E-5 2.203461892130858E-5 2.3013426392572944E-5
80 2.4108515871131162E-5 2.367920375207789E-5 2.507335003562099E-5
90 2.5642266564338707E-5 2.542942440521873E-5 2.602139166027117E-5
100 2.846411650668173E-5 2.7959128740824395E-5 2.9383712309429705E-5
110 3.0950811284244835E-5 3.005520073327223E-5 3.148259914451574E-5
120 3.220804115095737E-5 3.181462107267535E-5 3.3034868613138694E-5
130 3.394722364145658E-5 3.3324758655462184E-5 3.5430977142857145E-5
140 3.594385226873022E-5 3.5246701371790366E-5 3.66341442138586E-5
150 3.6876848340071054E-5 3.6765737228959945E-5 3.711220911429622E-5
160 3.902858809250032E-5 3.872700383288617E-5 3.9570765810655425E-5
170 4.111072803801765E-5 4.0562934419551936E-5 4.184144765784114E-5
180 4.303946633347217E-5 4.192965097875885E-5 4.440700416493128E-5
190 4.4704193853427896E-5 4.428206028368794E-5 4.5778902039007096E-5
200 4.539243070175439E-5 4.376765E-5 4.772965657894737E-5
210 4.587613448432531E-5 4.5414071785552027E-5 4.766628668786915E-5
220 4.766203485633537E-5 4.706476683937824E-5 4.823922515308526E-5
230 4.939034174757282E-5 4.8581361165048546E-5 5.029816941747573E-5
240 5.123941109986505E-5 5.073316953441296E-5 5.236829099190284E-5
250 5.3172082679225545E-5 5.249285714285715E-5 5.434437467294611E-5
260 5.44991647696477E-5 5.374306720867209E-5 5.564794525745258E-5
270 5.6306201264880954E-5 5.558484709821428E-5 5.767462109375E-5
280 5.734008514700268E-5 5.696971477663231E-5 5.825887571592211E-5
290 6.016501808176101E-5 5.88397429245283E-5 6.457470754716982E-5
300 6.0798331721080214E-5 6.0394361547763E-5 6.125545586457074E-5
310 6.2466171278826E-5 6.21021251572327E-5 6.315015974842768E-5
320 6.43951717883056E-5 6.351883802816902E-5 6.617736875800257E-5
330 6.444055277777777E-5 6.414706987179487E-5 6.51423423076923E-5
340 6.686937957484111E-5 6.589315779092703E-5 6.82493379355687E-5
350 6.812515382882884E-5 6.789700067567568E-5 6.865493986486487E-5
360 6.990556553003944E-5 6.978192832289493E-5 7.00977773138483E-5
370 7.184303536439666E-5 7.115462437275986E-5 7.348697204301075E-5
380 7.438650950292398E-5 7.287919956140351E-5 7.634210160818714E-5
390 7.474878740353498E-5 7.453681329350262E-5 7.498630918595968E-5
